date	version	count
2017-12-10	1.28.1	2474
2017-12-10	1.28.0	1963
2017-12-10	1.30.0	582
2017-12-10	1.30.0 (ALPHA)	345
2017-12-10	1.31.0 (ALPHA)	264
2017-12-10	1.29.0 (ALPHA)	80
2017-12-10	1.29.0 (RC)	44
2017-12-10	1.30.0 (RC)	38
2017-12-10	1.30.0 (WMF)	36
2017-12-10	1.28.3	27
2017-12-10	1.31.0 (WMF)	10
2017-12-10	1.29.0 (WMF)	10
2017-12-10	1.28.0 (RC)	2
2017-12-10	1.28.0 (ALPHA)	2
2017-12-10	1.25.3	1
2017-12-17	1.29.1	9782
2017-12-17	1.28.2	8230
2017-12-17	1.29.0	4849
2017-12-17	1.29.2	3795
2017-12-17	1.28.1	2478
2017-12-17	1.28.0	1976
2017-12-17	1.30.0	1432
2017-12-17	1.30.0 (ALPHA)	344
2017-12-17	1.31.0 (ALPHA)	280
2017-12-17	1.29.0 (ALPHA)	80
2017-12-17	1.29.0 (RC)	44
2017-12-17	1.30.0 (RC)	38
2017-12-17	1.30.0 (WMF)	36
2017-12-17	1.28.3	29
2017-12-17	1.29.0 (WMF)	10
2017-12-17	1.31.0 (WMF)	9
2017-12-17	1.28.0 (RC)	2
2017-12-17	1.28.0 (ALPHA)	2
2017-12-17	1.25.3	1
2017-12-24	1.29.1	9783
2017-12-24	1.28.2	8287
2017-12-24	1.29.0	4856
2017-12-24	1.29.2	3826
2017-12-24	1.28.1	2494
2017-12-24	1.30.0	2103
2017-12-24	1.28.0	1979
2017-12-24	1.30.0 (ALPHA)	344
2017-12-24	1.31.0 (ALPHA)	296
2017-12-24	1.29.0 (ALPHA)	80
2017-12-24	1.29.0 (RC)	44
2017-12-24	1.30.0 (RC)	37
2017-12-24	1.30.0 (WMF)	35
2017-12-24	1.28.3	30
2017-12-24	1.31.0 (WMF)	11
2017-12-24	1.29.0 (WMF)	10
2017-12-24	1.28.0 (RC)	2
2017-12-24	1.28.0 (ALPHA)	2
2017-12-24	1.25.3	1
2017-12-31	1.29.1	9793
2017-12-31	1.28.2	8348
2017-12-31	1.29.0	4867
2017-12-31	1.29.2	3858
2017-12-31	1.30.0	2939
2017-12-31	1.28.1	2491
2017-12-31	1.28.0	1977
2017-12-31	1.30.0 (ALPHA)	342
2017-12-31	1.31.0 (ALPHA)	313
2017-12-31	1.29.0 (ALPHA)	80
2017-12-31	1.29.0 (RC)	44
2017-12-31	1.30.0 (RC)	37
2017-12-31	1.30.0 (WMF)	35
2017-12-31	1.28.3	32
2017-12-31	1.31.0 (WMF)	12
2017-12-31	1.29.0 (WMF)	10
2017-12-31	1.28.0 (RC)	2
2017-12-31	1.28.0 (ALPHA)	2
2017-12-31	1.25.3	1
2018-01-07	1.29.1	9799
2018-01-07	1.28.2	8408
2018-01-07	1.29.0	4880
2018-01-07	1.29.2	3906
2018-01-07	1.30.0	3890
2018-01-07	1.28.1	2492
2018-01-07	1.28.0	1985
2018-01-07	1.30.0 (ALPHA)	342
2018-01-07	1.31.0 (ALPHA)	334
2018-01-07	1.29.0 (ALPHA)	80
2018-01-07	1.29.0 (RC)	44
2018-01-07	1.30.0 (RC)	38
2018-01-07	1.30.0 (WMF)	36
2018-01-07	1.28.3	36
2018-01-07	1.31.0 (WMF)	15
2018-01-07	1.29.0 (WMF)	10
2018-01-07	1.28.0 (RC)	2
2018-01-07	1.28.0 (ALPHA)	2
2018-01-07	1.25.3	1
2018-01-14	1.29.1	9810
2018-01-14	1.28.2	8464
2018-01-14	1.29.0	4885
2018-01-14	1.30.0	4791
2018-01-14	1.29.2	3962
2018-01-14	1.28.1	2496
2018-01-14	1.28.0	1996
2018-01-14	1.31.0 (ALPHA)	357
2018-01-14	1.30.0 (ALPHA)	342
2018-01-14	1.29.0 (ALPHA)	80
2018-01-14	1.29.0 (RC)	44
2018-01-14	1.30.0 (RC)	38
2018-01-14	1.28.3	37
2018-01-14	1.30.0 (WMF)	35
2018-01-14	1.31.0 (WMF)	16
2018-01-14	1.29.0 (WMF)	10
2018-01-14	1.28.0 (RC)	2
2018-01-14	1.28.0 (ALPHA)	2
2018-01-14	1.25.3	1
2018-01-21	1.29.1	9805
2018-01-21	1.28.2	8522
2018-01-21	1.30.0	5720
2018-01-21	1.29.0	4893
2018-01-21	1.29.2	3997
2018-01-21	1.28.1	2497
2018-01-21	1.28.0	2004
2018-01-21	1.31.0 (ALPHA)	375
2018-01-21	1.30.0 (ALPHA)	343
2018-01-21	1.29.0 (ALPHA)	80
2018-01-21	1.29.0 (RC)	44
2018-01-21	1.30.0 (RC)	38
2018-01-21	1.28.3	38
2018-01-21	1.30.0 (WMF)	35
2018-01-21	1.31.0 (WMF)	16
2018-01-21	1.29.0 (WMF)	10
2018-01-21	1.28.0 (RC)	2
2018-01-21	1.28.0 (ALPHA)	2
2018-01-21	1.25.3	1
2018-01-28	1.29.1	9824
2018-01-28	1.28.2	8574
2018-01-28	1.30.0	6603
2018-01-28	1.29.0	4900
2018-01-28	1.29.2	4037
2018-01-28	1.28.1	2502
2018-01-28	1.28.0	2008
2018-01-28	1.31.0 (ALPHA)	400
2018-01-28	1.30.0 (ALPHA)	343
2018-01-28	1.29.0 (ALPHA)	80
2018-01-28	1.29.0 (RC)	44
2018-01-28	1.28.3	41
2018-01-28	1.30.0 (RC)	38
2018-01-28	1.30.0 (WMF)	35
2018-01-28	1.31.0 (WMF)	18
2018-01-28	1.29.0 (WMF)	10
2018-01-28	1.28.0 (RC)	2
2018-01-28	1.28.0 (ALPHA)	2
2018-01-28	1.25.3	1
2018-02-04	1.29.1	9829
2018-02-04	1.28.2	8648
2018-02-04	1.30.0	7570
2018-02-04	1.29.0	4908
2018-02-04	1.29.2	4074
2018-02-04	1.28.1	2511
2018-02-04	1.28.0	2020
2018-02-04	1.31.0 (ALPHA)	417
2018-02-04	1.30.0 (ALPHA)	343
2018-02-04	1.29.0 (ALPHA)	80
2018-02-04	1.29.0 (RC)	44
2018-02-04	1.28.3	40
2018-02-04	1.30.0 (RC)	38
2018-02-04	1.30.0 (WMF)	34
2018-02-04	1.31.0 (WMF)	21
2018-02-04	1.29.0 (WMF)	10
2018-02-04	1.28.0 (RC)	2
2018-02-04	1.28.0 (ALPHA)	2
2018-02-04	1.25.3	1
2018-02-11	1.29.1	9837
2018-02-11	1.28.2	8712
2018-02-11	1.30.0	8387
2018-02-11	1.29.0	4907
2018-02-11	1.29.2	4110
2018-02-11	1.28.1	2513
2018-02-11	1.28.0	2024
2018-02-11	1.31.0 (ALPHA)	452
2018-02-11	1.30.0 (ALPHA)	343
2018-02-11	1.29.0 (ALPHA)	80
2018-02-11	1.29.0 (RC)	44
2018-02-11	1.28.3	41
2018-02-11	1.30.0 (RC)	38
2018-02-11	1.30.0 (WMF)	34
2018-02-11	1.31.0 (WMF)	22
2018-02-11	1.29.0 (WMF)	10
2018-02-11	1.28.0 (RC)	2
2018-02-11	1.28.0 (ALPHA)	2
2018-02-11	1.25.3	1
2018-02-18	1.29.1	9851
2018-02-18	1.30.0	9353
2018-02-18	1.28.2	8773
2018-02-18	1.29.0	4914
2018-02-18	1.29.2	4134
2018-02-18	1.28.1	2514
2018-02-18	1.28.0	2033
2018-02-18	1.31.0 (ALPHA)	479
2018-02-18	1.30.0 (ALPHA)	343
2018-02-18	1.29.0 (ALPHA)	80
2018-02-18	1.29.0 (RC)	44
2018-02-18	1.28.3	42
2018-02-18	1.30.0 (RC)	39
2018-02-18	1.30.0 (WMF)	34
2018-02-18	1.31.0 (WMF)	24
2018-02-18	1.29.0 (WMF)	10
2018-02-18	1.28.0 (RC)	2
2018-02-18	1.28.0 (ALPHA)	2
2018-02-18	1.25.3	1
2018-02-25	1.30.0	10337
2018-02-25	1.29.1	9858
2018-02-25	1.28.2	8827
2018-02-25	1.29.0	4916
2018-02-25	1.29.2	4172
2018-02-25	1.28.1	2514
2018-02-25	1.28.0	2053
2018-02-25	1.31.0 (ALPHA)	497
2018-02-25	1.30.0 (ALPHA)	343
2018-02-25	1.29.0 (ALPHA)	81
2018-02-25	1.29.0 (RC)	44
2018-02-25	1.28.3	42
2018-02-25	1.30.0 (RC)	39
2018-02-25	1.30.0 (WMF)	34
2018-02-25	1.31.0 (WMF)	28
2018-02-25	1.29.0 (WMF)	10
2018-02-25	1.28.0 (RC)	2
2018-02-25	1.28.0 (ALPHA)	2
2018-02-25	1.25.3	1
2018-03-04	1.30.0	11270
2018-03-04	1.29.1	9859
2018-03-04	1.28.2	8885
2018-03-04	1.29.0	4925
2018-03-04	1.29.2	4218
2018-03-04	1.28.1	2515
2018-03-04	1.28.0	2064
2018-03-04	1.31.0 (ALPHA)	513
2018-03-04	1.30.0 (ALPHA)	342
2018-03-04	1.29.0 (ALPHA)	81
2018-03-04	1.29.0 (RC)	44
2018-03-04	1.28.3	43
2018-03-04	1.30.0 (RC)	39
2018-03-04	1.30.0 (WMF)	34
2018-03-04	1.31.0 (WMF)	30
2018-03-04	1.29.0 (WMF)	10
2018-03-04	1.28.0 (RC)	2
2018-03-04	1.28.0 (ALPHA)	2
2018-03-04	1.25.3	1
2018-03-11	1.30.0	12249
2018-03-11	1.29.1	9871
2018-03-11	1.28.2	8952
2018-03-11	1.29.0	4931
2018-03-11	1.29.2	4247
2018-03-11	1.28.1	2518
2018-03-11	1.28.0	2071
2018-03-11	1.31.0 (ALPHA)	528
2018-03-11	1.30.0 (ALPHA)	342
2018-03-11	1.29.0 (ALPHA)	81
2018-03-11	1.29.0 (RC)	44
2018-03-11	1.28.3	42
2018-03-11	1.30.0 (RC)	39
2018-03-11	1.31.0 (WMF)	34
2018-03-11	1.30.0 (WMF)	34
2018-03-11	1.29.0 (WMF)	10
2018-03-11	1.28.0 (RC)	2
2018-03-11	1.28.0 (ALPHA)	2
2018-03-11	1.25.3	1
2018-03-18	1.30.0	13297
2018-03-18	1.29.1	9874
2018-03-18	1.28.2	8898
2018-03-18	1.29.0	4935
2018-03-18	1.29.2	4276
2018-03-18	1.28.1	2517
2018-03-18	1.28.0	2082
2018-03-18	1.31.0 (ALPHA)	544
2018-03-18	1.30.0 (ALPHA)	342
2018-03-18	1.29.0 (ALPHA)	81
2018-03-18	1.29.0 (RC)	44
2018-03-18	1.28.3	42
2018-03-18	1.30.0 (RC)	38
2018-03-18	1.31.0 (WMF)	35
2018-03-18	1.30.0 (WMF)	34
2018-03-18	1.29.0 (WMF)	10
2018-03-18	1.28.0 (RC)	2
2018-03-18	1.28.0 (ALPHA)	2
2018-03-18	1.31.0	1
2018-03-18	1.25.3	1
2018-03-25	1.30.0	14266
2018-03-25	1.29.1	9882
2018-03-25	1.28.2	8857
2018-03-25	1.29.0	4936
2018-03-25	1.29.2	4314
2018-03-25	1.28.1	2519
2018-03-25	1.28.0	2088
2018-03-25	1.31.0 (ALPHA)	566
2018-03-25	1.30.0 (ALPHA)	341
2018-03-25	1.29.0 (ALPHA)	80
2018-03-25	1.28.3	44
2018-03-25	1.29.0 (RC)	44
2018-03-25	1.30.0 (RC)	38
2018-03-25	1.31.0 (WMF)	34
2018-03-25	1.30.0 (WMF)	34
2018-03-25	1.29.0 (WMF)	10
2018-03-25	1.28.0 (RC)	2
2018-03-25	1.28.0 (ALPHA)	2
2018-03-25	1.31.0	1
2018-03-25	1.25.3	1
2018-04-01	1.30.0	15507
2018-04-01	1.29.1	9884
2018-04-01	1.28.2	8829
2018-04-01	1.29.0	4937
2018-04-01	1.29.2	4068
2018-04-01	1.28.1	2521
2018-04-01	1.28.0	2098
2018-04-01	1.31.0 (ALPHA)	540
2018-04-01	1.30.0 (ALPHA)	344
2018-04-01	1.29.0 (ALPHA)	80
2018-04-01	1.29.0 (RC)	44
